,Year?,NYC College?,Student?,Alum?,Occupation?,Verified,Link?,Parent?,Views My Own?,Consecutive Upper,Name Emojis,Name Title,Emojis,Tweet Count,Followers,Friends,Liked Posts,Last Tweet Time,Account_Age,Tweet_Rate,Output
94,0,0,0,0,0,0,1,0,0,3,0,0,0,67,16,35,21,50.63071649935354,0.5724575500291079,117.03924596084585,0
95,0,0,0,0,0,0,1,1,0,1,0,0,1,745,542,4716,488,49.9251014335691,1.8795996013891605,396.36101191412837,0
96,0,0,0,0,0,1,1,0,0,1,0,0,0,1574,1438,1307,526,50.63061905848353,0.9390827369888259,1676.103646678715,0
97,0,0,0,0,0,0,0,0,0,1,0,0,5,1023,302,1346,6284,50.622720200522224,4.78604587740508,213.7463840097276,0
98,0,0,0,0,0,0,1,0,0,1,0,0,0,873,179,437,1235,50.617477374705295,7.504800472177813,116.32554432811784,0
99,0,0,0,0,0,0,1,0,0,1,0,0,0,3603,1182,2377,2545,50.630479314016284,9.352812710117329,385.2317064044792,0
100,0,0,1,0,0,0,0,0,0,1,0,0,0,1501,319,560,3081,50.63042420843157,0.6128739734667652,2449.1168902302816,1
101,0,0,0,0,0,0,0,0,0,1,0,0,1,21,57,60,95,50.01579907851041,1.193911980159289,17.58923634990096,1
102,0,0,0,0,0,0,0,0,0,3,0,0,1,1595,681,4999,7702,50.630124534185114,10.866967842320031,146.77507315228027,0
103,0,1,0,0,1,0,1,0,0,1,0,0,6,73,87,293,74,50.603495639719114,6.962304052931738,10.485034759328075,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,4,194,2351,41,50.18924455598651,2.5350667471797146,1.5778677245678192,0
105,0,0,0,0,0,0,0,0,0,1,0,0,0,4,9,507,5254,50.62790709686415,4.403095843181946,0.9084517218024842,0
106,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,6,10,49.60893822724161,1.2367771117194772,1.6171062522489783,0
107,0,0,0,0,0,0,0,0,0,1,2,0,0,1422,1575,904,2336,50.62874768676959,6.355348517656558,223.7485475500472,0
108,0,0,0,0,1,0,1,0,0,1,0,0,1,4533,513,1172,2548,50.62759173701421,7.3332941472354864,618.1396667020176,0
