,emojis,hashtag,hahalol,Output
372146065,1,2,1,0
188361460,1,1,1,0
1187788628052893696,1,1,1,0
748522543,3,2,1,0
309238549,1,3,1,0
4863003645,1,2,1,1
738461704623955968,3,2,1,0
3225793654,6,1,1,1
1021780749383598081,1,1,1,0
1230244459067080705,3,3,1,0
1122921580210921474,2,4,1,0
106440085,1,5,1,0
872642990426206208,1,5,1,1
1146754438255665152,1,1,1,0
2875593674,9,7,1,0
2712817820,1,5,1,0
758124131351203840,3,4,1,1
1072247124639789057,1,2,1,0
88806960,2,1,1,0
385772960,3,1,1,0
825841059339104257,1,1,1,0
2786091286,2,6,1,0
32938319,1,3,1,0
1195409726470868992,1,2,1,0
1072257543123144704,2,6,1,0
773801453332955136,3,1,1,0
420017699,3,2,1,0
112829445,3,2,1,0
3222536209,1,3,1,0
411978163,1,7,1,0
68792267,1,1,1,0
4911215176,1,1,1,0
816527180087824384,1,1,1,0
133748870,1,3,1,0
103340218,1,1,1,0
1045102333,1,1,1,1
1201604140419493891,1,1,1,0
312537730,1,1,1,0
1115986600763297792,1,1,1,0
1249515955270500352,2,4,1,0
1247951004445917185,1,1,1,0
2837776579,1,1,1,1
1226323506897375232,2,1,1,0
427161849,1,3,1,0
71266832,1,1,1,1
1189587927573127171,1,7,1,0
1176604743126401029,5,2,1,0
111627519,1,2,1,0
1230136981075656704,2,1,1,0
809268341797883904,5,1,1,1
1152274504284102658,2,1,1,1
1379129154,1,2,1,0
25523948,1,7,1,0
1131368570468937728,2,3,1,0
3601093632,4,1,1,1
17447380,1,1,1,0
2932230082,1,7,1,0
864280504253730817,5,1,1,1
2331381869,5,2,1,0
3042357268,1,8,1,0
778315429190201344,1,5,1,0
35715911,1,1,1,0
708807024017076224,2,1,1,1
209722185,1,5,1,0
316557316,1,1,1,0
1177598284988387328,1,1,1,0
2310872131,1,1,1,0
244538607,1,7,1,0
1114336155900829696,1,2,1,0
753416237573509120,9,2,1,1
1111285272350810118,1,2,1,0
944066929811247104,1,1,1,1
177984613,1,1,1,0
1710819518,4,1,1,0
468445212,1,6,1,0
14296296,1,1,1,0
1246815434315309059,1,1,1,0
142741454,1,1,1,0
1122639226158366720,1,2,1,1
448905687,1,5,1,0
2743960875,1,1,1,1
1165317534381424640,1,1,1,0
1110626252015194112,1,1,1,0
903716420428681218,4,4,1,0
719191732383059968,6,2,1,0
881911657810800642,1,7,1,0
15415604,3,2,1,0
1197967895394996224,1,3,1,0
1250233997139095557,6,1,1,1
1179141398542606336,1,2,1,0
1001201645089378304,1,1,1,0
449120897,4,4,1,0
1159093591127363584,6,9,1,0
2233584553,2,2,1,0
437053342,1,8,1,0
340380407,3,4,1,0
135451662,3,8,1,0
67096005,1,6,1,0
1205342183970111489,5,1,1,1
48446760,1,5,1,0
60828604,4,1,1,0
918972558300647429,6,1,1,1
255133757,6,1,1,1
920339653580017665,3,5,3,0
928462711,3,1,1,1
1267020204426637312,1,1,1,1
40676426,1,1,1,0
34828416,1,1,1,0
1044930869935378432,1,1,1,0
3038055555,5,4,1,1
2280412625,6,3,1,1
1037421772805685249,1,1,1,0
475279367,3,9,1,0
19098143,1,5,1,0
1108519262249988096,1,1,1,1
838077515029745664,6,1,1,1
837326818927591425,1,5,1,0
2402352949,1,3,1,0
1069779683984605185,3,1,1,1
106926924,2,4,1,0
4061032277,1,4,1,0
82890807,1,1,1,0
1096220114855301120,1,1,1,1
1066915724168433666,1,4,1,0
1012197029051760641,1,2,1,0
1118850602254196736,2,7,1,0
1237469185174900736,1,1,1,1
893591656452300800,3,8,1,0
181800426,1,3,1,0
729074048538398722,2,4,1,0
382063695,2,3,1,0
1242529329403305985,2,1,1,0
